Rk,Player,Pos,Squad,Age,Min,90s,Gls/90,Ast/90,xA/90,npxG/90,KP,CrsPA,Prog
285,Harry Maguire\Harry-Maguire,DF,Leicester City,25,2596,28.8,0.1,0,0.02,0.07,10,0,142
286,Riyad Mahrez\Riyad-Mahrez,FWMF,Manchester City,27,1343,14.9,0.47,0.27,0.28,0.33,24,10,71
287,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,20,987,11,0.09,0.09,0.11,0.09,6,1,53
288,Sadio Mané\Sadio-Mane,FW,Liverpool,26,3077,34.2,0.64,0.03,0.13,0.5,44,5,106
289,Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,24,1101,12.2,0,0.25,0.07,0.01,8,3,40
290,Solly March\Solly-March,MFFW,Brighton,24,2463,27.4,0.04,0.18,0.13,0.09,38,19,44
291,Adrian Mariappa\Adrian-Mariappa,DF,Watford,31,1927,21.4,0,0,0.03,0.05,5,0,40
292,Lazar Marković\Lazar-Markovic,FW,Fulham,24,45,0.5,0,0,0.06,0,1,0,2
293,Anthony Martial\Anthony-Martial,FW,Manchester Utd,22,1621,18,0.56,0.11,0.15,0.31,32,5,75
294,Adam Masina\Adam-Masina,DF,Watford,24,1004,11.2,0,0.09,0.05,0,3,2,38
295,Arthur Masuaku\Arthur-Masuaku,DF,West Ham,24,1759,19.5,0,0.05,0.06,0,15,6,72
296,Juan Mata\Juan-Mata,FWMF,Manchester Utd,30,1289,14.3,0.21,0.14,0.23,0.11,29,6,59
297,Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,29,2436,27.1,0.04,0,0.02,0.06,12,4,144
298,Joël Matip\Joel-Matip,DF,Liverpool,26,1537,17.1,0.06,0,0,0.03,2,0,57
299,Konstantinos Mavropanos\Konstantinos-Mavropanos,DF,Arsenal,20,148,1.6,0,0,0.13,0.03,1,0,8
300,Alfie Mawson\Alfie-Mawson,DF,Fulham,24,1131,12.6,0,0,0,0.01,1,0,28
301,Isaac Mbenza\Isaac-Mbenza,FWMF,Huddersfield,22,986,11,0.09,0.09,0.08,0.1,8,5,15
302,James McArthur\James-McArthur,MF,Crystal Palace,30,3058,34,0.09,0.18,0.1,0.15,29,2,89
303,Alex McCarthy\Alex-McCarthy,GK,Southampton,28,2250,25,0,0,0,0,0,0,0
304,James McCarthy\James-McCarthy,MF,Everton,27,15,0.2,0,0,0,0,0,0,0
305,Kevin McDonald\Kevin-McDonald,MF,Fulham,29,841,9.3,0,0,0.01,0.01,4,0,27
306,Dwight McNeil\Dwight-McNeil,MF,Burnley,18,1591,17.7,0.17,0.28,0.17,0.09,27,12,32
307,Scott McTominay\Scott-McTominay,MFDF,Manchester Utd,21,867,9.6,0.21,0,0,0.11,1,0,29
308,Ben Mee\Ben-Mee,DF,Burnley,28,3420,38,0,0.05,0.02,0.04,8,1,87
309,Nathaniel Mendez-Laing\Nathaniel-Mendez-Laing,MFFW,Cardiff City,26,985,10.9,0.37,0.09,0.13,0.19,20,6,27
310,Benjamin Mendy\Benjamin-Mendy,DF,Manchester City,24,900,10,0,0.5,0.14,0.02,12,10,85
311,Nampalys Mendy\Nampalys-Mendy,MF,Leicester City,26,2092,23.2,0,0,0.01,0,5,3,67
312,Chris Mepham\Chris-Mepham,DF,Bournemouth,20,850,9.4,0,0.11,0,0,0,0,22
